codeP,date,spe,sp_check,region,site,depth,season,P,I,Volume,Weight,Surface,Vi,V.bio,W.fil,W.fil.tis,W.fil.tis.bur,countS.1,countS.2,countS.3,countS.4,countS.5,countS.6,countC.1,countC.2,countC.3,countC.4,countC.5,countC.6,V.chl.slurry,V.extraction.T,V.extraction.S,A750T,A664T,A647T,A630T,A750S,A664S,A647S,A630S,SDS1V,V.prot.slurry,STC,STCX4,STCX3,STCX2,STCX1,STCE,abs.prot.blank,abs.prot.zoox1,abs.prot.zoox2,abs.prot.zoox3,abs.prot.host1,abs.prot.host2,abs.prot.host3,STC-2 (for host),STCX4b,STCX3b,STCX2b,STCX1b,STCEb,abs.prot.blank.b,Hdelta15N,Hdelta13C,Zdelta15N,Zdelta13C,H_N%,H_C%,Z_N%,Z_C%,SST_mean,SST_sd,light_mean,light_sd
ACPSBA1,2/10/2017,A. muricata,1,NT,Bitou,10,s,1,1,4944.036621,7.7132,8238.788086,10,1,0.0896,0.1102,0.1025,538,832,672,787,762,NA,42,38,54,40,48,NA,1,10,10,-0.001,0.327,0.092,0.098,0,0.187,0.055,0.056,2,5,STC.2019.06.13,-184.76,685.63,-603.7,884.1,-6.4908,0.085966667,1.7749,1.59,1.7149,1.6488,1.6308,1.6354,STC.2019.06.13,-16.535,17.559,117.69,787.66,2.8687,0.090666667,6.063,-13.839,5.136,-14.106,0.9880738,8.2108077,6.4083612,53.007301,28.61901639,0.356364537,22.1440168,3.455177367
ACPSBA3,2/10/2017,A. muricata,1,NT,Bitou,10,s,1,1,4312.081543,7.0219,4117.744629,10,1,0.0903,0.1086,0.103,493,515,515,461,418,NA,7,10,7,4,5,NA,1,10,10,-0.001,0.211,0.059,0.063,0.108,0.319,0.178,0.171,2,5,STC.2019.06.13,-184.76,685.63,-603.7,884.1,-6.4908,0.085966667,1.2396,1.0451,1.0076,1.17,1.1514,1.1344,STC.2019.06.13,-16.535,17.559,117.69,787.66,2.8687,0.090666667,5.669,-14.137,5.105,-15.065,0.7481825,7.2635755,6.1432171,51.0538715,28.61901639,0.356364537,22.1440168,3.455177367
ACPSBA4,2/10/2017,A. muricata,1,NT,Bitou,10,s,1,1,3515.539551,5.6229,4408.412598,10,1,0.0898,0.1036,0.0982,530,410,380,350,420,NA,25,28,27,24,32,NA,1,10,10,-0.001,0.165,0.047,0.053,0.262,0.37,0.295,0.296,2,5,STC.2019.06.13,-184.76,685.63,-603.7,884.1,-6.4908,0.085966667,1.4479,1.5825,1.5673,1.2993,1.2575,1.2597,STC.2019.06.13,-16.535,17.559,117.69,787.66,2.8687,0.090666667,5.235,-15.411,4.926,-15.041,0.5407806,5.136241,5.7739635,50.8796749,28.61901639,0.356364537,22.1440168,3.455177367
ACPSLA12,17/11/2017,A. muricata,1,NT,Longdong,10,s,1,1,8686.525391,14.7809,9299.37793,10,1,0.09,0.1003,0.0973,5,8,4,6,6,NA,7,6,6,7,5,NA,1,10,10,-0.002,0.038,0.011,0.011,0.279,0.536,0.366,0.372,2,5,STC.2019.06.13,-184.76,685.63,-603.7,884.1,-6.4908,0.085966667,0.7519,0.6759,0.6413,0.9074,0.8866,0.8854,STC.2019.06.13,-16.535,17.559,117.69,787.66,2.8687,0.090666667,5.079,-18.028,4.05,-18.549,0.6313692,3.8738078,6.756816,49.5648132,27.54295082,1.263945337,20.80831681,2.063311939
ACPS3,9/2/2017,A. muricata,1,GI,Guiwan ,10,w,1,1,8744.292969,13.6266,8042.185059,10,1,0.0867,0.0974,0.0945,34,40,56,54,56,NA,54,47,56,60,60,NA,1,10,10,-0.001,0.035,0.009,0.009,0.163,0.228,0.187,0.184,2,5,STC.2019.06.13,-184.76,685.63,-603.7,884.1,-6.4908,0.085966667,0.7092,0.6227,0.7278,0.5873,0.5781,0.588,STC.2019.06.13,-16.535,17.559,117.69,787.66,2.8687,0.090666667,2.749,-15.898,2.742,-15.975,0.5454371,3.7433533,7.3588994,51.3039699,25.10322581,0.186429381,23.55455652,5.33163119
ACPS4,9/2/2017,A. muricata,1,GI,Guiwan ,10,w,1,1,3100.370117,5.4367,4304.625977,10,1,0.0894,0.1026,0.0981,325,330,365,400,365,NA,40,45,25,20,25,NA,1,10,10,-0.001,0.185,0.053,0.056,0.001,0.085,0.034,0.025,2,5,STC.2019.06.13,-184.76,685.63,-603.7,884.1,-6.4908,0.085966667,1.4157,1.3833,1.3839,0.9265,0.9451,0.9719,STC.2019.06.13,-16.535,17.559,117.69,787.66,2.8687,0.090666667,3.042,-17.315,3.197,-17.455,0.4936668,3.7793216,7.3381394,50.5194552,25.10322581,0.186429381,23.55455652,5.33163119
ACPS5,10/2/2017,A. muricata,1,GI,Guiwan ,10,w,1,1,7250.125488,10.8436,6240.540527,10,1,0.0881,0.1072,0.099,590,830,540,715,250,NA,115,180,85,195,65,NA,1,10,10,0,0.25,0.075,0.078,0.003,0.147,0.05,0.047,2,5,STC.2019.06.13,-184.76,685.63,-603.7,884.1,-6.4908,0.085966667,2.1643,2.2419,2.1165,2.1338,2.1258,2.1908,STC.2019.06.13,-16.535,17.559,117.69,787.66,2.8687,0.090666667,3.094,-16.808,2.817,-16.982,0.7189813,4.7168757,7.5177706,50.751429,25.10322581,0.186429381,23.55455652,5.33163119
ACPSS1,21/07/2017,A. muricata,1,GI,Guiwan ,10,s,1,1,7980.586914,13.6935,6634.570801,10,1,0.0885,0.1046,0.0989,338,403,302,178,257,NA,96,94,72,43,60,NA,1,10,10,0.003,0.064,0.024,0.026,0.085,0.186,0.114,0.114,2,5,STC.2019.06.13,-184.76,685.63,-603.7,884.1,-6.4908,0.085966667,1.3626,1.276,1.3511,1.5663,1.5547,1.6742,STC.2019.06.13,-16.535,17.559,117.69,787.66,2.8687,0.090666667,3.167,-14.613,2.501,-14.864,0.9589559,7.4027551,6.0571372,49.9360531,28.34967213,1.07605602,44.06271592,4.294457341
ACPSS2,21/07/2017,A. muricata,1,GI,Guiwan ,10,s,1,1,7838.535156,13.2728,8120.495117,10,1,0.0894,0.1051,0.1,15,16,16,11,14,NA,21,22,17,18,19,NA,1,10,10,-0.001,0.034,0.009,0.01,0.1,0.283,0.161,0.154,2,5,STC.2019.06.13,-184.76,685.63,-603.7,884.1,-6.4908,0.085966667,0.9339,0.7432,0.9731,1.0888,1.0902,1.1314,STC.2019.06.13,-16.535,17.559,117.69,787.66,2.8687,0.090666667,2.052,-16.349,2.602,-16.182,0.743752,4.7712662,7.1054908,51.901447,28.34967213,1.07605602,44.06271592,4.294457341
ACPSS3,21/07/2017,A. muricata,1,GI,Guiwan ,10,s,1,1,9815.979492,12.8341,10017.91016,10,1,0.0902,0.106,0.0998,290,288,342,244,324,NA,108,124,112,138,148,NA,1,10,10,0.002,0.068,0.023,0.025,0.053,0.099,0.064,0.064,2,5,STC.2019.06.13,-184.76,685.63,-603.7,884.1,-6.4908,0.085966667,1.3112,1.3987,1.411,1.9277,1.9162,2.0554,STC.2019.06.13,-16.535,17.559,117.69,787.66,2.8687,0.090666667,2.854,-15.555,2.705,-15.316,0.6880965,5.456384,6.3044271,51.6326329,28.34967213,1.07605602,44.06271592,4.294457341
