"","species","trait","light","light_sd","SST","SST_sd"
"1","A. muricata","Cc",0.06,NA,-0.22,-0.38
"2","A. muricata","chla",-0.05,NA,0.31,-1.53
"3","A. muricata","chlb",-0.01,NA,-0.02,0.29
"4","A. muricata","chlc",-0.06,NA,0.39,-1.45
"5","A. muricata","chlca",-0.01,NA,0.06,0.65
"6","A. muricata","dens",-0.03,NA,-0.03,0.3
"7","A. muricata","H13C",0.05,NA,0.42,-1.51
"8","A. muricata","H15N",-0.05,NA,0.31,0.02
"9","A. muricata","HCN",0,NA,0.11,-0.37
"10","A. muricata","Hpro",0,NA,-0.01,0.94
"11","A. muricata","S13C",0.05,NA,0.43,-1.74
"12","A. muricata","S15N",-0.08,NA,0.61,-0.53
"13","A. muricata","Sc",0.03,NA,0.6,-3.7
"14","A. muricata","SCN",0,NA,0.37,-0.49
"15","A. muricata","Spro",0,NA,-0.04,-0.53
"16","C. microphthalma","Cc",0,0.08,0,-0.18
"17","C. microphthalma","chla",-0.03,0.4,-0.01,0.29
"18","C. microphthalma","chlb",-0.12,1.13,0.21,2.86
"19","C. microphthalma","chlc",0.04,-0.14,-0.11,-1.09
"20","C. microphthalma","chlca",0.06,-0.51,-0.11,-1.53
"21","C. microphthalma","dens",-0.08,0.43,-0.02,1.92
"22","C. microphthalma","H13C",0.04,0.17,-0.02,-0.71
"23","C. microphthalma","H15N",-0.02,-0.4,-0.02,-0.14
"24","C. microphthalma","HCN",-0.42,2.31,0.71,11.08
"25","C. microphthalma","Hpro",0.06,-0.39,-0.18,-1.02
"26","C. microphthalma","S13C",0.06,0,-0.03,-0.91
"27","C. microphthalma","S15N",0.01,-0.31,-0.02,-0.04
"28","C. microphthalma","Sc",0,-0.21,0,-0.32
"29","C. microphthalma","SCN",-0.04,0.3,0.01,1.58
"30","C. microphthalma","Spro",0.03,-0.07,-0.09,-0.82
"31","I. palifera","Cc",0,0.15,-0.03,NA
"32","I. palifera","chla",-0.03,0.12,-0.31,NA
"33","I. palifera","chlb",-0.02,0.54,0.04,NA
"34","I. palifera","chlc",-0.01,-0.17,-0.41,NA
"35","I. palifera","chlca",0.03,-0.43,-0.15,NA
"36","I. palifera","dens",-0.01,0.11,0.05,NA
"37","I. palifera","H13C",0.03,0.34,0.1,NA
"38","I. palifera","H15N",-0.02,0.06,0.16,NA
"39","I. palifera","HCN",0,0.03,0.05,NA
"40","I. palifera","Hpro",0.03,-0.24,-0.56,NA
"41","I. palifera","S13C",0.03,0.4,0.22,NA
"42","I. palifera","S15N",-0.04,0.42,0.21,NA
"43","I. palifera","Sc",0,-0.11,-0.23,NA
"44","I. palifera","SCN",-0.07,0.42,0.73,NA
"45","I. palifera","Spro",0.01,-0.13,-0.25,NA
"46","P. lutea","Cc",0.02,0.04,-0.06,-0.17
"47","P. lutea","chla",0.01,-0.3,-0.04,-0.9
"48","P. lutea","chlb",0,-0.03,0.03,-0.05
"49","P. lutea","chlc",0.02,-0.42,-0.02,-1.39
"50","P. lutea","chlca",0.02,0.01,0.1,-0.21
"51","P. lutea","dens",0.01,0,0.04,-0.18
"52","P. lutea","H13C",0.05,0.06,-0.07,-0.45
"53","P. lutea","H15N",0.01,-0.23,-0.02,-0.38
"54","P. lutea","HCN",0,0.01,0.01,0.05
"55","P. lutea","Hpro",0.06,-0.3,-0.09,-0.7
"56","P. lutea","S13C",0.05,-0.08,0.02,-0.3
"57","P. lutea","S15N",0.01,-0.06,-0.03,-0.01
"58","P. lutea","Sc",0.01,-0.12,-0.06,-0.71
"59","P. lutea","SCN",0.01,-0.21,0.12,-0.1
"60","P. lutea","Spro",0.05,0.26,-0.26,-1.25
"61","P. profundacella","Cc",0,0.06,-0.03,0.04
"62","P. profundacella","chla",0.05,-0.51,0.06,-1.23
"63","P. profundacella","chlb",0.03,0.58,-0.2,0.37
"64","P. profundacella","chlc",0.05,-1,0.25,-1.62
"65","P. profundacella","chlca",-0.01,-0.59,0.22,-0.46
"66","P. profundacella","dens",-0.01,0.36,-0.03,0.21
"67","P. profundacella","H13C",0.06,-0.14,0.13,0.16
"68","P. profundacella","H15N",0.01,-0.4,0.13,-0.29
"69","P. profundacella","HCN",0.01,-0.08,0.07,-0.02
"70","P. profundacella","Hpro",0.06,-0.99,0.31,-1.27
"71","P. profundacella","S13C",0.05,-0.35,0.24,0.31
"72","P. profundacella","S15N",-0.01,-0.45,0.17,0.49
"73","P. profundacella","Sc",0.04,-1.05,0.34,-1.65
"74","P. profundacella","SCN",0.02,-0.29,0.22,-0.45
"75","P. profundacella","Spro",0.02,-0.39,0.11,-0.58
"76","P. speciosa","Cc",0,-0.04,0.02,-0.04
"77","P. speciosa","chla",0.04,-0.34,-0.06,-0.79
"78","P. speciosa","chlb",0.04,0.05,0.02,-0.42
"79","P. speciosa","chlc",0.02,-0.32,-0.1,-0.3
"80","P. speciosa","chlca",-0.07,0.32,-0.04,1.36
"81","P. speciosa","dens",-0.08,0.32,0.05,0.55
"82","P. speciosa","H13C",-0.02,0.12,0.16,0.13
"83","P. speciosa","H15N",-0.04,0.69,-0.03,0.75
"84","P. speciosa","HCN",0,0.05,-0.01,0
"85","P. speciosa","Hpro",0.01,-0.09,0.05,0.07
"86","P. speciosa","S13C",-0.01,0.13,0.11,0.52
