"","species","trait","light","light_sd","SST","SST_sd"
"1","A. muricata","Cc","*",NA,"",""
"2","A. muricata","chla","",NA,"",""
"3","A. muricata","chlb","*",NA,"","*"
"4","A. muricata","chlc","",NA,"",""
"5","A. muricata","chlca","",NA,"",""
"6","A. muricata","dens","",NA,"",""
"7","A. muricata","H13C","*",NA,"*","*"
"8","A. muricata","H15N","*",NA,"*",""
"9","A. muricata","HCN","",NA,"*","*"
"10","A. muricata","Hpro","",NA,"",""
"11","A. muricata","S13C","*",NA,"*","*"
"12","A. muricata","S15N","*",NA,"*","*"
"13","A. muricata","Sc","",NA,"*","*"
"14","A. muricata","SCN","",NA,"*",""
"15","A. muricata","Spro","",NA,"",""
"16","C. microphthalma","Cc","","","",""
"17","C. microphthalma","chla","","","",""
"18","C. microphthalma","chlb","*","*","","*"
"19","C. microphthalma","chlc","","","",""
"20","C. microphthalma","chlca","","*","",""
"21","C. microphthalma","dens","","","",""
"22","C. microphthalma","H13C","","","",""
"23","C. microphthalma","H15N","","","",""
"24","C. microphthalma","HCN","*","*","*","*"
"25","C. microphthalma","Hpro","","","*",""
"26","C. microphthalma","S13C","*","","",""
"27","C. microphthalma","S15N","","","",""
"28","C. microphthalma","Sc","","","",""
"29","C. microphthalma","SCN","","","","*"
"30","C. microphthalma","Spro","","","*","*"
"31","I. palifera","Cc","","*","",NA
"32","I. palifera","chla","*","","*",NA
"33","I. palifera","chlb","","*","",NA
"34","I. palifera","chlc","","","*",NA
"35","I. palifera","chlca","","*","",NA
"36","I. palifera","dens","","","",NA
"37","I. palifera","H13C","","","",NA
"38","I. palifera","H15N","*","","*",NA
"39","I. palifera","HCN","","","",NA
"40","I. palifera","Hpro","*","","*",NA
"41","I. palifera","S13C","","*","*",NA
"42","I. palifera","S15N","*","*","*",NA
"43","I. palifera","Sc","","","*",NA
"44","I. palifera","SCN","*","","*",NA
"45","I. palifera","Spro","","","*",NA
"46","P. lutea","Cc","*","","*",""
"47","P. lutea","chla","","*","","*"
"48","P. lutea","chlb","","","",""
"49","P. lutea","chlc","","*","","*"
"50","P. lutea","chlca","","","",""
"51","P. lutea","dens","","","",""
"52","P. lutea","H13C","*","","",""
"53","P. lutea","H15N","","*","",""
"54","P. lutea","HCN","","","",""
"55","P. lutea","Hpro","*","*","",""
"56","P. lutea","S13C","*","","",""
"57","P. lutea","S15N","","","",""
"58","P. lutea","Sc","","","","*"
"59","P. lutea","SCN","","*","*",""
"60","P. lutea","Spro","*","","*","*"
"61","P. profundacella","Cc","","","",""
"62","P. profundacella","chla","*","*","","*"
"63","P. profundacella","chlb","","*","*",""
"64","P. profundacella","chlc","","*","*","*"
"65","P. profundacella","chlca","","*","*",""
"66","P. profundacella","dens","","*","",""
"67","P. profundacella","H13C","*","","",""
"68","P. profundacella","H15N","","*","*",""
"69","P. profundacella","HCN","","","*",""
"70","P. profundacella","Hpro","*","*","*","*"
"71","P. profundacella","S13C","*","","*",""
"72","P. profundacella","S15N","","*","*",""
"73","P. profundacella","Sc","","*","*","*"
"74","P. profundacella","SCN","","*","*",""
"75","P. profundacella","Spro","","*","*","*"
"76","P. speciosa","Cc","","","",""
"77","P. speciosa","chla","","","",""
"78","P. speciosa","chlb","","","",""
"79","P. speciosa","chlc","","","",""
"80","P. speciosa","chlca","*","","","*"
"81","P. speciosa","dens","*","","",""
"82","P. speciosa","H13C","","","*",""
"83","P. speciosa","H15N","","*","",""
"84","P. speciosa","HCN","","","",""
"85","P. speciosa","Hpro","","","",""
"86","P. speciosa","S13C","","","*",""
"87","P. speciosa","S15N","*","","","*"
"88","P. speciosa","Sc","","","*",""
"89","P. speciosa","SCN","","","",""
"90","P. speciosa","Spro","","","",""
"91","S. pistillata","Cc","","","","*"
"92","S. pistillata","chla","","","","*"
"93","S. pistillata","chlb","","*","",""
"94","S. pistillata","chlc","","*","",""
"95","S. pistillata","chlca","","*","","*"
"96","S. pistillata","dens","","","",""
"97","S. pistillata","H13C","","","*","*"
"98","S. pistillata","H15N","","*","",""
"99","S. pistillata","HCN","","","",""
"100","S. pistillata","Hpro","","","*",""
"101","S. pistillata","S13C","","","*","*"
"102","S. pistillata","S15N","","*","",""
"103","S. pistillata","Sc","","","","*"
"104","S. pistillata","SCN","","*","","*"
"105","S. pistillata","Spro","","","","*"
